clip_id,set_id,set_name,class,description,dramatic_use,camera_behavior,duration_seconds,looping,fps,master_resolution,character_safe_area,foreground_motion,background_motion,lighting_change,weather_fx,sound_suggestion,required_source_art,generation_method,visualizer_compatibility,transition_requirement,status
JV-TWN-CLP-MIC-DAY-SUM-V001,JV-TWN,Joeville Town,micro insert,Joeville Town micro insert,"overview, montage, geographic orientation",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic townwide ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TWN-CLP-EST-DAY-SUM-V001,JV-TWN,Joeville Town,establishing move,Joeville Town establishing move,"overview, montage, geographic orientation",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic townwide ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TWN-CLP-AMB-DAY-SUM-V001,JV-TWN,Joeville Town,ambient loop,Joeville Town ambient loop,"overview, montage, geographic orientation","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic townwide ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TWN-CLP-DLG-DAY-SUM-V001,JV-TWN,Joeville Town,dialogue loop,Joeville Town dialogue loop,"overview, montage, geographic orientation",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic townwide ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TWN-CLP-LONG-DAY-SUM-V001,JV-TWN,Joeville Town,long environmental loop,Joeville Town long environmental loop,"overview, montage, geographic orientation",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic townwide ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TWN-CLP-TRV-DAY-SUM-V001,JV-TWN,Joeville Town,travel transition,Joeville Town travel transition,"overview, montage, geographic orientation",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic townwide ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-COF-CLP-MIC-DAY-SUM-V001,JV-COF,Lantern & Lark Coffee,micro insert,Lantern & Lark Coffee micro insert,"intimacy, work, comic ordering",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic downtown ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-COF-CLP-EST-DAY-SUM-V001,JV-COF,Lantern & Lark Coffee,establishing move,Lantern & Lark Coffee establishing move,"intimacy, work, comic ordering",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic downtown ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-COF-CLP-AMB-DAY-SUM-V001,JV-COF,Lantern & Lark Coffee,ambient loop,Lantern & Lark Coffee ambient loop,"intimacy, work, comic ordering","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic downtown ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-COF-CLP-DLG-DAY-SUM-V001,JV-COF,Lantern & Lark Coffee,dialogue loop,Lantern & Lark Coffee dialogue loop,"intimacy, work, comic ordering",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic downtown ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-COF-CLP-LONG-DAY-SUM-V001,JV-COF,Lantern & Lark Coffee,long environmental loop,Lantern & Lark Coffee long environmental loop,"intimacy, work, comic ordering",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic downtown ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-COF-CLP-TRV-DAY-SUM-V001,JV-COF,Lantern & Lark Coffee,travel transition,Lantern & Lark Coffee travel transition,"intimacy, work, comic ordering",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic downtown ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CHA-CLP-MIC-DAY-SUM-V001,JV-CHA,Grace Meadow and Assembly Hall,micro insert,Grace Meadow and Assembly Hall micro insert,"community, picnics, trail departure",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic meadow ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CHA-CLP-EST-DAY-SUM-V001,JV-CHA,Grace Meadow and Assembly Hall,establishing move,Grace Meadow and Assembly Hall establishing move,"community, picnics, trail departure",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic meadow ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CHA-CLP-AMB-DAY-SUM-V001,JV-CHA,Grace Meadow and Assembly Hall,ambient loop,Grace Meadow and Assembly Hall ambient loop,"community, picnics, trail departure","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic meadow ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CHA-CLP-DLG-DAY-SUM-V001,JV-CHA,Grace Meadow and Assembly Hall,dialogue loop,Grace Meadow and Assembly Hall dialogue loop,"community, picnics, trail departure",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic meadow ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CHA-CLP-LONG-DAY-SUM-V001,JV-CHA,Grace Meadow and Assembly Hall,long environmental loop,Grace Meadow and Assembly Hall long environmental loop,"community, picnics, trail departure",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic meadow ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CHA-CLP-TRV-DAY-SUM-V001,JV-CHA,Grace Meadow and Assembly Hall,travel transition,Grace Meadow and Assembly Hall travel transition,"community, picnics, trail departure",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic meadow ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-FAL-CLP-MIC-DAY-SUM-V001,JV-FAL,Joeville Falls,micro insert,Joeville Falls micro insert,"wonder, intimacy, reflection",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic canyon ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-FAL-CLP-EST-DAY-SUM-V001,JV-FAL,Joeville Falls,establishing move,Joeville Falls establishing move,"wonder, intimacy, reflection",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic canyon ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-FAL-CLP-AMB-DAY-SUM-V001,JV-FAL,Joeville Falls,ambient loop,Joeville Falls ambient loop,"wonder, intimacy, reflection","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic canyon ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-FAL-CLP-DLG-DAY-SUM-V001,JV-FAL,Joeville Falls,dialogue loop,Joeville Falls dialogue loop,"wonder, intimacy, reflection",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic canyon ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-FAL-CLP-LONG-DAY-SUM-V001,JV-FAL,Joeville Falls,long environmental loop,Joeville Falls long environmental loop,"wonder, intimacy, reflection",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic canyon ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
