set_id,set_name,cast_size,feasible,anchor_pattern,depth_order,eyelines,entrance_exit,camera,note
JV-TWN,Joeville Town,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-TWN,Joeville Town,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-TWN,Joeville Town,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TWN,Joeville Town,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TWN,Joeville Town,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TWN,Joeville Town,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-COF,Lantern & Lark Coffee,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-COF,Lantern & Lark Coffee,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-COF,Lantern & Lark Coffee,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-COF,Lantern & Lark Coffee,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-COF,Lantern & Lark Coffee,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-COF,Lantern & Lark Coffee,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-CHA,Grace Meadow and Assembly Hall,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-CHA,Grace Meadow and Assembly Hall,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-CHA,Grace Meadow and Assembly Hall,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-CHA,Grace Meadow and Assembly Hall,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-CHA,Grace Meadow and Assembly Hall,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-CHA,Grace Meadow and Assembly Hall,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-FAL,Joeville Falls,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-FAL,Joeville Falls,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-FAL,Joeville Falls,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-FAL,Joeville Falls,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
