set_id,set_name,district,narrative_function,fictionalization,architecture,palette,materials,entrances_exits,dialogue_zones,group_capacity,camera_positions,variants,legal,status
JV-TWN,Joeville Town,Townwide,"overview, montage, geographic orientation",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-COF,Lantern & Lark Coffee,Downtown,"intimacy, work, comic ordering",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-CHA,Grace Meadow and Assembly Hall,Meadow,"community, picnics, trail departure",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-FAL,Joeville Falls,Canyon,"wonder, intimacy, reflection",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-MED,Thirteen Stones Meditation Circle,Castle Ridge,"ritual, reflection, council",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-DAN,Current Hall,Creek Corridor,"ecstatic dance, celebration, decompression",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-TRL,Foothill Trail System,Mountain,"walking dialogue, challenge, discovery",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-CAS,Castle Grace,Castle Ridge,"home base, council, feast, celebration",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-PRL,Lantern Walk,Downtown,"public life, shopping, buskers, encounters",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-JUI,Brightroot Juice Bar,Wellness,"quick meetings, healthy ritual, comedy",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-TON,Juniper Tonic House,Wellness,"intimate counsel, apothecary ritual",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-SUS,Riverstone Sushi,Creek Corridor,"meals, dates, ensemble celebration",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-GRO,Joeville Commons Market,Wellness,"shopping, chance encounters, errands",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,8,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-CRK,Joeville Creek Path,Creek Corridor,walking dialogue and transitions,fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-RES,Sunward Residential Street,Residential,"home transitions, quiet daily life",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-PLZ,Civic Weave Plaza,Downtown,"public gathering, announcements, ensemble",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,13,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-BRG,Rainbow Footbridge,Creek Corridor,"crossing, meeting, visual transition",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
JV-OVR,Westlight Overlook,Mountain,"reflection, town POV, sunset",fictional Boulder-inspired analogue,low-rise regional masonry/wood with stepped square-cell silhouette,sandstone|ponderosa|creek-blue|sun-gold|night-indigo|rainbow accent <=5%,local-stone analogue|warm brick|dark steel|weathered wood|clear glass|woven textiles,minimum two readable routes; hero entry plus service/continuity exit,intimate 2-shot zone|3-5 group zone|standing transition zone,5,master|reverse|two OTS|profile|movement axis|insert,day|golden|night|rain|snow|spring|summer|autumn|winter as relevant,no real trade dress or copied private interior; clear reference license before direct use,DESIGN-SPECIFIED; ART-PENDING
