"source_id","publisher","title","source_type","authority_level","claims_used","checked_date","volatility","production_use_note","url"
"B01","City of Boulder","Boulder Valley Comprehensive Plan","official planning page","primary","Mountains bound Boulder Valley on west; urban and rural-preservation structure","2026-07-13","medium","Use for geographic continuity; recheck adopted-plan status if citing policy","https://bouldercolorado.gov/projects/boulder-valley-comprehensive-plan"
"B02","City of Boulder OSMP","Geology on OSMP","official interpretive page","primary","Flatirons geology; Green Mountain association; mesa and foothill form","2026-07-13","low","Research reference; do not assume page photos are licensed","https://bouldercolorado.gov/geology-osmp"
"B03","City of Boulder","Chautauqua Historic District overview","official preservation PDF","primary","Southwestern mesa setting; 1898 origin; district character and boundaries","2026-07-13","low","Use for campus pattern and history; faithful building depiction needs review","https://bouldercolorado.gov/sites/default/files/2020-12/chautauquaoverview.pdf"
"B04","City of Boulder OSMP","Meadow Trail","official trail page","primary","0.5-mile meadow approach and 172-foot gain","2026-07-13","high","Trail status and conditions must be rechecked before scouting","https://bouldercolorado.gov/trail/meadow"
"B05","City of Boulder Parks and Recreation","Boulder Creek Path","official location page","primary","5.5-mile west-to-east multi-use path through downtown and civic attractions","2026-07-13","medium","Use for corridor continuity; field-check construction and closures","https://bouldercolorado.gov/locations/boulder-creek-path"
"B06","City of Boulder OSMP","Habitat Conservation Areas","official conservation page","primary","Ponderosa and dry meadow habitat; cool canyons; cottonwoods on Boulder Creek","2026-07-13","low","Use for zoned vegetation palette; respect closed/restricted habitats","https://bouldercolorado.gov/habitat-conservation-areas"
"B07","City of Boulder Utilities","Instream Flow Program","official water-management page","primary","Protected and monitored Boulder Creek flows","2026-07-13","medium","Supports variable water-state design; not a flow forecast","https://bouldercolorado.gov/services/instream-flow-program"
"B08","City of Boulder Parks and Recreation","Chautauqua Park","official location page","primary","1890s public funding; cultural and recreational history","2026-07-13","medium","Event and gathering rules are volatile","https://bouldercolorado.gov/locations/chautauqua-park"
"B09","City of Boulder","Chautauqua Collaborative Stewardship Program","official stewardship page","primary","Historic auditorium dining hall and academic hall; city ownership/lease structure","2026-07-13","medium","Ownership/lease data may change; verify before location request","https://bouldercolorado.gov/services/chautauqua-collaborative-stewardship-program"
"B10","City of Boulder OSMP","Chautauqua Trailhead","official trailhead page","primary","High use; parking pressure; trail and cultural functions","2026-07-13","high","Recheck access, shuttle, hours, parking, and closures before scout","https://bouldercolorado.gov/trailhead/chautauqua"
"B11","City of Boulder OSMP","Boulder Falls","official trail page","primary","11 miles west; SR 119 approach; short trail; parking across highway; current closure","2026-07-13","very high","Recheck status immediately before scout; research page photos not cleared assets","https://bouldercolorado.gov/trail/boulder-falls"
"B12","City of Boulder Parks and Recreation","Pearl Street Mall","official location page","primary","Four pedestrian blocks; 1977 designation","2026-07-13","medium","Use for public-space baseline; confirm construction/refresh conditions","https://bouldercolorado.gov/locations/pearl-street-mall"
"B13","City of Boulder","Pearl Street Pedestrian Mall Cultural Landscape Assessment","official cultural-landscape PDF","primary","Facade-to-facade linear space; brick paving; trees; planters; varied gathering nodes","2026-07-13","low","High-value design reference; do not lift photographs or drawings into production","https://bouldercolorado.gov/pa/media/11760/download"
"B14","City of Boulder","Downtown Historic District overview","official preservation PDF","primary","1859 townsite; mining and university growth; historic commercial blocks","2026-07-13","low","Use for historical layering; page imagery remains separately copyrightable","https://bouldercolorado.gov/sites/default/files/2020-12/downtownoverview.pdf"
"B15","City of Boulder Historic Preservation","Landmarks and Historic Districts","official preservation page","primary","Historic-district and landmark counts; National Register context","2026-07-13","medium","Counts can change; recheck before publication","https://bouldercolorado.gov/services/landmarks-and-historic-districts"
"B16","NOAA National Centers for Environmental Information","Boulder CO 1991-2020 Summary of Monthly Normals USC00050848","official climate-data PDF","primary","Elevation; monthly temperatures; precipitation; snowfall normals","2026-07-13","low","Use for seasonal baseline, not episode-day weather prediction","https://www.ncei.noaa.gov/access/services/data/v1?dataTypes=MLY-TMAX-NORMAL%2CMLY-TMIN-NORMAL%2CMLY-TAVG-NORMAL%2CMLY-PRCP-NORMAL%2CMLY-SNOW-NORMAL&dataset=normals-monthly-1991-2020&format=pdf&stations=USC00050848"
"B17","City of Boulder","Native Plants Growing Tips","official horticulture page","primary","Cottonwood riparian placement; ponderosa dry-site placement; native grasses","2026-07-13","medium","Good palette guide; not a complete habitat inventory","https://bouldercolorado.gov/native-plants-growing-tips"
