"asset_id","path","source","approximate_date","usage_status","use","notes"
"CAS-REF-01","source-references/01-front-terraces.png","project owner supplied","2026-07-13 received","project reference approved; upstream rights unknown","canonical factual/visual reference","Contains two source-only people; not a clean plate"
"CAS-REF-02","source-references/02-garden-terraces.png","project owner supplied","2026-07-13 received","project reference approved; upstream rights unknown","canonical factual/visual reference","Garden and circulation"
"CAS-REF-03","source-references/03-tree-porch-a.png","project owner supplied","2026-07-13 received","project reference approved; upstream rights unknown","canonical factual/visual reference","Pine and porch geometry"
"CAS-REF-04","source-references/04-tree-porch-b.png","project owner supplied","2026-07-13 received","project reference approved; upstream rights unknown","canonical factual/visual reference","Alternate porch continuity"
"CAS-REF-05","source-references/05-living-room.png","project owner supplied","2026-07-13 received","project reference approved; upstream rights unknown","canonical factual/visual reference","Contains recognizable source-only screen artwork"
"CAS-CON-01","voxel-concepts/01-front-terraces-voxel.png","built-in image generation using CAS-REF-01","2026-07-13","project visual development","reference-preserving style translation","People and towel removed"
"CAS-CON-02","voxel-concepts/02-garden-terraces-voxel.png","built-in image generation using CAS-REF-02","2026-07-13","project visual development","reference-preserving style translation","Empty plate"
"CAS-CON-03","voxel-concepts/03-tree-porch-a-voxel.png","built-in image generation using CAS-REF-03","2026-07-13","project visual development","reference-preserving style translation","Empty plate"
"CAS-CON-04","voxel-concepts/04-tree-porch-b-voxel.png","built-in image generation using CAS-REF-04","2026-07-13","project visual development","reference-preserving style translation","Empty plate"
"CAS-CON-05","voxel-concepts/05-living-room-voxel.png","built-in image generation using CAS-REF-05","2026-07-13","project visual development","reference-preserving style translation","Screen artwork replaced with neutral voxel landscape"
