shot_id,set_id,set_name,district,shot_class,camera,time,season,dramatic_use,cast_capacity,character_safe_area,ground_horizon,layers,clean_plate,status
JV-TWN-STL-EST-EW-DAY-V001,JV-TWN,Joeville Town,Townwide,extreme-wide establishing,24mm-equivalent elevated,clear late-morning,summer master,"overview, montage, geographic orientation",13,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-EST-EW-GOLD-V001,JV-TWN,Joeville Town,Townwide,extreme-wide establishing,24mm-equivalent elevated,golden hour,summer master,"overview, montage, geographic orientation",13,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-EST-EW-NIGHT-V001,JV-TWN,Joeville Town,Townwide,extreme-wide establishing,24mm-equivalent elevated,blue-hour-to-night,summer master,"overview, montage, geographic orientation",13,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-EXT-MAS-DAY-V001,JV-TWN,Joeville Town,Townwide,exterior master,28mm-equivalent eye-level,clear late-morning,summer master,"overview, montage, geographic orientation",13,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-EXT-MAS-GOLD-V001,JV-TWN,Joeville Town,Townwide,exterior master,28mm-equivalent eye-level,golden hour,summer master,"overview, montage, geographic orientation",13,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-EXT-MAS-NIGHT-V001,JV-TWN,Joeville Town,Townwide,exterior master,28mm-equivalent eye-level,blue-hour-to-night,summer master,"overview, montage, geographic orientation",13,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-EXT-REV-DAY-V001,JV-TWN,Joeville Town,Townwide,exterior reverse,35mm-equivalent eye-level,clear late-morning,summer master,"overview, montage, geographic orientation",13,departure path and town orientation clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-INT-MAS-DAY-V001,JV-TWN,Joeville Town,Townwide,interior or primary-area master,28mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-INT-MAS-GOLD-V001,JV-TWN,Joeville Town,Townwide,interior or primary-area master,28mm-equivalent,golden hour,summer master,"overview, montage, geographic orientation",13,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-INT-MAS-NIGHT-V001,JV-TWN,Joeville Town,Townwide,interior or primary-area master,28mm-equivalent,blue-hour-to-night,summer master,"overview, montage, geographic orientation",13,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-INT-REV-DAY-V001,JV-TWN,Joeville Town,Townwide,reverse master,32mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,reverse eyelines and window continuity,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-DLG-2S-DAY-V001,JV-TWN,Joeville Town,Townwide,clean dialogue two-shot,50mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,two 34x52-cell figures plus gesture clearance,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-DLG-OTS-L-DAY-V001,JV-TWN,Joeville Town,Townwide,clean over-shoulder left,65mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,left foreground occluder delivered separately,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-DLG-OTS-R-DAY-V001,JV-TWN,Joeville Town,Townwide,clean over-shoulder right,65mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,right foreground occluder delivered separately,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-DLG-GRP-DAY-V001,JV-TWN,Joeville Town,Townwide,three-to-five group dialogue,40mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,five anchors with non-crossing eyelines,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-ENS-13-DAY-V001,JV-TWN,Joeville Town,Townwide,full-cast ensemble master,28mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,thirteen anchors; only where capacity allows,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-MOVE-LR-DAY-V001,JV-TWN,Joeville Town,Townwide,side-tracking movement plate,35mm orthogonal-feel,clear late-morning,summer master,"overview, montage, geographic orientation",13,unbroken lateral path across 70 percent width,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-POV-DAY-V001,JV-TWN,Joeville Town,Townwide,character point of view,45mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,no baked character; clear focal subject,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-INS-SGN-DAY-V001,JV-TWN,Joeville Town,Townwide,controlled signage insert,70mm-equivalent,clear late-morning,summer master,"overview, montage, geographic orientation",13,blank sign substrate for graphic pass,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-CLN-DAY-V001,JV-TWN,Joeville Town,Townwide,empty clean plate,matching master lens,clear late-morning,summer master,"overview, montage, geographic orientation",13,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-CLN-GOLD-V001,JV-TWN,Joeville Town,Townwide,empty clean plate,matching master lens,golden hour,summer master,"overview, montage, geographic orientation",13,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-TWN-STL-CLN-NIGHT-V001,JV-TWN,Joeville Town,Townwide,empty clean plate,matching master lens,blue-hour-to-night,summer master,"overview, montage, geographic orientation",13,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EST-EW-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,extreme-wide establishing,24mm-equivalent elevated,clear late-morning,summer master,"intimacy, work, comic ordering",5,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EST-EW-GOLD-V001,JV-COF,Lantern & Lark Coffee,Downtown,extreme-wide establishing,24mm-equivalent elevated,golden hour,summer master,"intimacy, work, comic ordering",5,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EST-EW-NIGHT-V001,JV-COF,Lantern & Lark Coffee,Downtown,extreme-wide establishing,24mm-equivalent elevated,blue-hour-to-night,summer master,"intimacy, work, comic ordering",5,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EXT-MAS-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,exterior master,28mm-equivalent eye-level,clear late-morning,summer master,"intimacy, work, comic ordering",5,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EXT-MAS-GOLD-V001,JV-COF,Lantern & Lark Coffee,Downtown,exterior master,28mm-equivalent eye-level,golden hour,summer master,"intimacy, work, comic ordering",5,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EXT-MAS-NIGHT-V001,JV-COF,Lantern & Lark Coffee,Downtown,exterior master,28mm-equivalent eye-level,blue-hour-to-night,summer master,"intimacy, work, comic ordering",5,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-EXT-REV-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,exterior reverse,35mm-equivalent eye-level,clear late-morning,summer master,"intimacy, work, comic ordering",5,departure path and town orientation clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-INT-MAS-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,interior or primary-area master,28mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-INT-MAS-GOLD-V001,JV-COF,Lantern & Lark Coffee,Downtown,interior or primary-area master,28mm-equivalent,golden hour,summer master,"intimacy, work, comic ordering",5,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-INT-MAS-NIGHT-V001,JV-COF,Lantern & Lark Coffee,Downtown,interior or primary-area master,28mm-equivalent,blue-hour-to-night,summer master,"intimacy, work, comic ordering",5,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
