requirement_id,requirement,artifacts,tests,status
REQ-POSE-001,Specify anchor_neutral_front with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-001-UNIT;POSE-001-INTEGRATION;POSE-001-VISUAL;POSE-001-RUNTIME,COVERED_BY_PLAN
REQ-POSE-002,Specify anchor_neutral_three_quarter_left with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-002-UNIT;POSE-002-INTEGRATION;POSE-002-VISUAL;POSE-002-RUNTIME,COVERED_BY_PLAN
REQ-POSE-003,Specify anchor_neutral_three_quarter_right with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-003-UNIT;POSE-003-INTEGRATION;POSE-003-VISUAL;POSE-003-RUNTIME,COVERED_BY_PLAN
REQ-POSE-004,Specify anchor_open_ready with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-004-UNIT;POSE-004-INTEGRATION;POSE-004-VISUAL;POSE-004-RUNTIME,COVERED_BY_PLAN
REQ-POSE-005,Specify anchor_staff_planted with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-005-UNIT;POSE-005-INTEGRATION;POSE-005-VISUAL;POSE-005-RUNTIME,COVERED_BY_PLAN
REQ-POSE-006,Specify anchor_hands_composed with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-006-UNIT;POSE-006-INTEGRATION;POSE-006-VISUAL;POSE-006-RUNTIME,COVERED_BY_PLAN
REQ-POSE-007,Specify anchor_confident with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-007-UNIT;POSE-007-INTEGRATION;POSE-007-VISUAL;POSE-007-RUNTIME,COVERED_BY_PLAN
REQ-POSE-008,Specify anchor_soft_smile with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/01_*.md,POSE-008-UNIT;POSE-008-INTEGRATION;POSE-008-VISUAL;POSE-008-RUNTIME,COVERED_BY_PLAN
REQ-POSE-009,Specify explain_one_hand with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-009-UNIT;POSE-009-INTEGRATION;POSE-009-VISUAL;POSE-009-RUNTIME,COVERED_BY_PLAN
REQ-POSE-010,Specify explain_two_hands with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-010-UNIT;POSE-010-INTEGRATION;POSE-010-VISUAL;POSE-010-RUNTIME,COVERED_BY_PLAN
REQ-POSE-011,Specify explain_precise with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-011-UNIT;POSE-011-INTEGRATION;POSE-011-VISUAL;POSE-011-RUNTIME,COVERED_BY_PLAN
REQ-POSE-012,Specify emphasis_small with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-012-UNIT;POSE-012-INTEGRATION;POSE-012-VISUAL;POSE-012-RUNTIME,COVERED_BY_PLAN
REQ-POSE-013,Specify emphasis_large with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-013-UNIT;POSE-013-INTEGRATION;POSE-013-VISUAL;POSE-013-RUNTIME,COVERED_BY_PLAN
REQ-POSE-014,Specify count_one with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-014-UNIT;POSE-014-INTEGRATION;POSE-014-VISUAL;POSE-014-RUNTIME,COVERED_BY_PLAN
REQ-POSE-015,Specify count_two with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-015-UNIT;POSE-015-INTEGRATION;POSE-015-VISUAL;POSE-015-RUNTIME,COVERED_BY_PLAN
REQ-POSE-016,Specify count_three with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/02_*.md,POSE-016-UNIT;POSE-016-INTEGRATION;POSE-016-VISUAL;POSE-016-RUNTIME,COVERED_BY_PLAN
REQ-POSE-017,Specify clarify_uncertainty with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-017-UNIT;POSE-017-INTEGRATION;POSE-017-VISUAL;POSE-017-RUNTIME,COVERED_BY_PLAN
REQ-POSE-018,Specify compare_left_right with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-018-UNIT;POSE-018-INTEGRATION;POSE-018-VISUAL;POSE-018-RUNTIME,COVERED_BY_PLAN
REQ-POSE-019,Specify weighing_options with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-019-UNIT;POSE-019-INTEGRATION;POSE-019-VISUAL;POSE-019-RUNTIME,COVERED_BY_PLAN
REQ-POSE-020,Specify define_term with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-020-UNIT;POSE-020-INTEGRATION;POSE-020-VISUAL;POSE-020-RUNTIME,COVERED_BY_PLAN
REQ-POSE-021,Specify important_context with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-021-UNIT;POSE-021-INTEGRATION;POSE-021-VISUAL;POSE-021-RUNTIME,COVERED_BY_PLAN
REQ-POSE-022,Specify zoom_out_context with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-022-UNIT;POSE-022-INTEGRATION;POSE-022-VISUAL;POSE-022-RUNTIME,COVERED_BY_PLAN
REQ-POSE-023,Specify zoom_in_detail with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-023-UNIT;POSE-023-INTEGRATION;POSE-023-VISUAL;POSE-023-RUNTIME,COVERED_BY_PLAN
REQ-POSE-024,Specify conclusion_resolve with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/03_*.md,POSE-024-UNIT;POSE-024-INTEGRATION;POSE-024-VISUAL;POSE-024-RUNTIME,COVERED_BY_PLAN
